Region,Date,Frequency,Estimated Unemployment Rate (%),Estimated Employed,Estimated Labour Participation Rate (%),Region.1,longitude,latitude,Year,Month
Rajasthan,2020-02-29, M,15.16,20328915,41.77,North,27.0238,74.2179,2020,2
Rajasthan,2020-03-31, M,11.9,20024680,39.54,North,27.0238,74.2179,2020,3
Rajasthan,2020-04-30, M,17.7,15984142,33.71,North,27.0238,74.2179,2020,4
Rajasthan,2020-05-31, M,15.74,19826602,40.74,North,27.0238,74.2179,2020,5
Rajasthan,2020-06-30, M,14.39,20506612,41.38,North,27.0238,74.2179,2020,6
Rajasthan,2020-07-31, M,15.81,19932393,40.8,North,27.0238,74.2179,2020,7
Rajasthan,2020-08-31, M,17.51,20014060,41.71,North,27.0238,74.2179,2020,8
Rajasthan,2020-09-30, M,15.35,20149594,40.83,North,27.0238,74.2179,2020,9
Rajasthan,2020-10-31, M,24.15,19908808,44.92,North,27.0238,74.2179,2020,10
Sikkim,2020-03-31, M,23.57,262895,60.59,Northeast,27.533,88.5122,2020,3
Sikkim,2020-04-30, M,2.28,215303,38.7,Northeast,27.533,88.5122,2020,4
Sikkim,2020-05-31, M,24.51,193427,44.88,Northeast,27.533,88.5122,2020,5
Sikkim,2020-06-30, M,4.46,221058,40.4,Northeast,27.533,88.5122,2020,6
Sikkim,2020-07-31, M,4.45,265175,48.32,Northeast,27.533,88.5122,2020,7
Sikkim,2020-08-31, M,12.49,244462,48.49,Northeast,27.533,88.5122,2020,8
Sikkim,2020-09-30, M,5.7,231798,42.54,Northeast,27.533,88.5122,2020,9
Sikkim,2020-10-31, M,0.88,242068,42.13,Northeast,27.533,88.5122,2020,10
Tamil Nadu,2020-01-31, M,1.57,26881641,41.96,South,11.1271,78.6569,2020,1
Tamil Nadu,2020-02-29, M,2.09,27570589,43.2,South,11.1271,78.6569,2020,2
Tamil Nadu,2020-03-31, M,6.4,26830768,43.91,South,11.1271,78.6569,2020,3
Tamil Nadu,2020-04-30, M,49.83,9719167,29.63,South,11.1271,78.6569,2020,4
Tamil Nadu,2020-05-31, M,33.16,11483256,26.23,South,11.1271,78.6569,2020,5
Tamil Nadu,2020-06-30, M,12.2,19096847,33.16,South,11.1271,78.6569,2020,6
Tamil Nadu,2020-07-31, M,6.81,24572827,40.13,South,11.1271,78.6569,2020,7
Tamil Nadu,2020-08-31, M,2.65,27046415,42.22,South,11.1271,78.6569,2020,8
Tamil Nadu,2020-09-30, M,5.0,23025845,36.77,South,11.1271,78.6569,2020,9
Tamil Nadu,2020-10-31, M,2.16,23651626,36.62,South,11.1271,78.6569,2020,10
Telangana,2020-01-31, M,5.49,17609295,59.25,South,18.1124,79.0193,2020,1
Telangana,2020-02-29, M,8.29,16825970,58.24,South,18.1124,79.0193,2020,2
Telangana,2020-03-31, M,5.77,17341613,58.31,South,18.1124,79.0193,2020,3
Telangana,2020-04-30, M,6.25,12172230,41.06,South,18.1124,79.0193,2020,4
Telangana,2020-05-31, M,14.7,14977774,55.43,South,18.1124,79.0193,2020,5
Telangana,2020-06-30, M,10.55,15108910,53.22,South,18.1124,79.0193,2020,6
Telangana,2020-07-31, M,5.36,15679417,52.1,South,18.1124,79.0193,2020,7
Telangana,2020-08-31, M,5.79,18185429,60.59,South,18.1124,79.0193,2020,8
Telangana,2020-09-30, M,3.27,16961448,54.94,South,18.1124,79.0193,2020,9
Telangana,2020-10-31, M,2.86,17578739,56.58,South,18.1124,79.0193,2020,10
Tripura,2020-01-31, M,32.67,1508130,69.69,Northeast,23.9408,91.9882,2020,1
Tripura,2020-02-29, M,28.4,1584686,68.74,Northeast,23.9408,91.9882,2020,2
Tripura,2020-03-31, M,29.95,1511217,66.89,Northeast,23.9408,91.9882,2020,3
Tripura,2020-04-30, M,41.23,971514,51.16,Northeast,23.9408,91.9882,2020,4
Tripura,2020-05-31, M,21.51,1290986,50.81,Northeast,23.9408,91.9882,2020,5
Tripura,2020-06-30, M,21.71,1494140,58.85,Northeast,23.9408,91.9882,2020,6
Tripura,2020-07-31, M,18.24,1348849,50.78,Northeast,23.9408,91.9882,2020,7
Tripura,2020-08-31, M,27.92,1318621,56.21,Northeast,23.9408,91.9882,2020,8
Tripura,2020-09-30, M,17.35,1368244,50.77,Northeast,23.9408,91.9882,2020,9
Tripura,2020-10-31, M,11.57,1576529,54.58,Northeast,23.9408,91.9882,2020,10
Uttar Pradesh,2020-01-31, M,7.58,59433759,39.63,North,26.8467,80.9462,2020,1
Uttar Pradesh,2020-02-29, M,8.98,58060531,39.23,North,26.8467,80.9462,2020,2
Uttar Pradesh,2020-03-31, M,10.11,56976338,38.89,North,26.8467,80.9462,2020,3
Uttar Pradesh,2020-04-30, M,21.54,50915056,39.73,North,26.8467,80.9462,2020,4
Uttar Pradesh,2020-05-31, M,20.41,49801902,38.22,North,26.8467,80.9462,2020,5
Uttar Pradesh,2020-06-30, M,9.47,55380649,37.29,North,26.8467,80.9462,2020,6
Uttar Pradesh,2020-07-31, M,5.56,56201654,36.19,North,26.8467,80.9462,2020,7
Uttar Pradesh,2020-08-31, M,5.79,55831744,35.96,North,26.8467,80.9462,2020,8
Uttar Pradesh,2020-09-30, M,4.18,56106836,35.45,North,26.8467,80.9462,2020,9
Uttar Pradesh,2020-10-31, M,3.75,56539521,35.49,North,26.8467,80.9462,2020,10
Uttarakhand,2020-01-31, M,5.49,2711639,32.99,North,30.0668,79.0193,2020,1
Uttarakhand,2020-02-29, M,4.99,3020931,36.48,North,30.0668,79.0193,2020,2
Uttarakhand,2020-03-31, M,19.85,2539302,36.27,North,30.0668,79.0193,2020,3
Uttarakhand,2020-04-30, M,6.48,2720115,33.23,North,30.0668,79.0193,2020,4
Uttarakhand,2020-05-31, M,8.01,2694072,33.38,North,30.0668,79.0193,2020,5
Uttarakhand,2020-06-30, M,8.61,2656071,33.06,North,30.0668,79.0193,2020,6
Uttarakhand,2020-07-31, M,12.38,2938552,38.07,North,30.0668,79.0193,2020,7
Uttarakhand,2020-08-31, M,14.26,2717528,35.9,North,30.0668,79.0193,2020,8
Uttarakhand,2020-09-30, M,22.26,2695230,39.18,North,30.0668,79.0193,2020,9
Uttarakhand,2020-10-31, M,9.23,2739309,34.03,North,30.0668,79.0193,2020,10
West Bengal,2020-01-31, M,6.94,35820789,47.35,East,22.9868,87.855,2020,1
West Bengal,2020-02-29, M,4.92,36964178,47.74,East,22.9868,87.855,2020,2
West Bengal,2020-03-31, M,6.92,35903917,47.27,East,22.9868,87.855,2020,3
West Bengal,2020-04-30, M,17.41,26938836,39.9,East,22.9868,87.855,2020,4
West Bengal,2020-05-31, M,17.41,28356675,41.92,East,22.9868,87.855,2020,5
West Bengal,2020-06-30, M,7.29,30726310,40.39,East,22.9868,87.855,2020,6
West Bengal,2020-07-31, M,6.83,35372506,46.17,East,22.9868,87.855,2020,7
West Bengal,2020-08-31, M,14.87,33298644,47.48,East,22.9868,87.855,2020,8
West Bengal,2020-09-30, M,9.35,35707239,47.73,East,22.9868,87.855,2020,9
West Bengal,2020-10-31, M,9.98,33962549,45.63,East,22.9868,87.855,2020,10
